,0
0,This 👇 https://t.co/CXI8p0M7dq
1,OMG 😍✨ https://t.co/A3ddlYMQl6
2,"RT @WomenandWeapons: So unbelievably thankful to have @garyvee always rooting so heavy in my corner! 

Thank you so much for the shoutout o…"
3,"RT @WomenandWeapons: We’re still glowing from excitement from passing the 5,500 unique collector threshold!!! 👀 ✨ https://t.co/Gmd031rTP1"
