,0
0,GzUhnUvwUQanKGRGGhs19dQ7i12HbT7ePYqNwKFjbTJ4
1,@Fragmentaiz @opensea Congrats on the launch!! https://t.co/SyLyU4DO2z
2,@opensea crying because stuck in New Zealand lockdown cannot go to NYC 😭😭😭😭😭
3,@thegalshir @SlimesNFT 👋👋👋
4,@KnishTheApe Just heart my stuff is good enough sir https://t.co/PDkhVFw3yv
