,0
0,RT @itisjustdi: #NewNFTProfilePic NFT by WomenandWeapons https://t.co/WwvJWj9lzy
1,"Welcome to the @WomenandWeapons family, Steve! 🙏🏼 😊 https://t.co/dyUcX7rLbG"
2,"@YKarkai This is amazing, Yam! So incredibly happy for you and the entire @worldofwomennft team. 🙏🏼"
3,@90sbabesnft It’s going to be great! Rooting for you. 🙏🏼
4,"RT @Jake_Joseph: Keep pushing the boundaries and building, my #web3 &amp; #NFT pirate friends! I feel like I’m seeing something new done every…"
5,Bravo @doodles. That is all. Very impressed. https://t.co/NhCRidnUav
6,"@aprilscreation1 Thanks, friend! ♥️"
7,"@LynneHealth @NFTSaraBaumann Yes, she is!! We’re proud to have you in the @WomenandWeapons family! 🙏🏼😊"
8,"@anthonykritis Thanks, friend! Yeah, @JesseItzler is the bomb! I’ve gained a lot of value from joining the BYLR group this year."
9,@Nerd_WEB3 @NFTSaraBaumann Couldn’t agree more!
10,@PartyRockNFT I think I just may!
11,@debsoon @NFTSaraBaumann ♥️
12,"@B_P_Murphy I believe it. I can tell you’re a Jim Rohn man by your character and how you conduct yourself, my friend! 🙏🏼"
13,"We need to start documenting all of this work (and the fun along the way). I’m blown away every day by what we are doing and accomplishing. I want to be able to show it to our kids someday. 

It feels like a magical time. https://t.co/ie9FXwhMob"
14,RT @WomenandWeapons: So excited to be apart of @thehugxyz! We want to celebrate YOU - a budding community of creators &amp; collectors who beli…
15,"Keep pushing the boundaries and building, my #web3 &amp; #NFT pirate friends! I feel like I’m seeing something new done every other day. 

Don’t forget to stay weird and stay kind along the way. 🏴‍☠️♥️ https://t.co/ePJWC7CwCY"
16,@worldofwomennft @billboard @YKarkai @xtina @FTX_Official Get it! 🙌 https://t.co/CLC3RKPipD
17,"@amber_vittoria The good news is no matter how hard they try, they won’t be you. Sending good vibes your way. Sorry this happened! ♥️"
18,"You can have more than you’ve got, because you can become more than you are. - Jim Rohn 

I replay this quote in my mind all the time. I am always on the pursuit of a better version of me."
19,"RT @WomenandWeapons: Hey WAWFam! ♥️ 

Today is the day for this months 1/1 airdrop!! 

Congrats to @WomenandWeapons holder of WAW #6611, @d…"
20,@NFTSaraBaumann @thehundreds You are so beautiful. ♥️
21,"@Verbo @InvsbleFriends Thanks, Stef! 🤜🤛"
22,"@_TrillestA @InvsbleFriends Thank, Tony!! 😊 ✌️"
23,"@MyBFF 1) @WomenandWeapons (biased 😊)
2) @crypto_coven 
3) @WomenriseNFT 
4) @worldofwomennft 
5) @CuriousAddys 
6) @FlowerGirlsNFT 

So many more to add and so few characters. This list is in no particular order. ♥️"
24,@kateshafe @amber_vittoria This is goals. When we get our new house I need two huge pieces from her. Amazing art &amp; even better human. 🙏🏼
25,@worldofwomennft Blown away by what you’ve done in 7 months. I love nothing more than when people as sweet &amp; kind as you all achieve such enormous success. ♥️
26,"@akhil_bvs @InvsbleFriends Thank you, my friend!! 😊"
27,@joshbobrowsky Very much so. 🧠
28,@NFTTrack @WomenandWeapons @digitalartchick ♥️ ♥️ ♥️
29,"#NewProfilePic @InvsbleFriends 

Love it! Blown away by the amount of work that must have gone into this. 

GM &amp; Happy Sunday! ♥️ https://t.co/3iUXDbCSad"
30,"RT @WomenandWeapons: ✨Art Reveal✨ 

As you all may know, for 2022 our artist/founder @NFTSaraBaumann is getting back to her roots. She is c…"
31,"RT @WomenandWeapons: Friendly reminder from our Artist and Founder, @NFTSaraBaumann . ❤️ https://t.co/AmPhizSKzz"
32,@joshbobrowsky 🤯
33,Sending out love. 💙🙏🏼
34,@ajv @CryptoBatzNFT I think this is one of the coolest implementations from a team in the space yet. Giving me so many ideas. 💡⚔️
35,RT @WomenandWeapons: Look at these two beautiful @nftworldsNFT we've got that are ready for @WomenandWeapons building! 👀⚔️ https://t.co/r7J…
36,"@Maliha_z_Art Peaceful Saturday full of recharging over here. Hope you are well, Maliha! 🙏🏼 https://t.co/TCeb815ppZ"
37,Good vibe Saturday! 🌞
38,@WomenandWeapons @Crypto_Derrick https://t.co/fWlJWZxKjH
39,RT @WomenandWeapons: Did you know the largest collector of #WAW owns 181 pieces?! 🤯  Shoutout to @Crypto_Derrick – your collection is kille…
40,"I wanna thank me for believing in me. I wanna thank me for doing all this hard work. 

Friday @SnoopDogg energy! 😂 https://t.co/v8UJWie1Kf"
41,RT @Jake_Joseph: Can’t wait to laugh at this in the years to come. Don’t underestimate my girl @NFTSaraBaumann! 🚀 https://t.co/hyyj26pEw3
42,Can’t wait to laugh at this in the years to come. Don’t underestimate my girl @NFTSaraBaumann! 🚀 https://t.co/hyyj26pEw3
43,RT @Jake_Joseph: Service to many often leads to greatness. 🙏🏼
44,"RT @WomenandWeapons: GM WAW family! 🌞 

We passed 50,000 followers &amp; friends on twitter this morning! 👀 

#WGMI #WomenInNFTs https://t.co/c…"
45,"@MsCryptomom1 Haha you and Sara both! She’s up to 1 AM working though, she does well at night!"
46,"Business hack nobody talks about: 

Wake up at 5:00 AM while everyone is snoozing. Have a coffee and just get to work. These are your most thoughtful/productive hours. 

Save the cold shower, meditation, journaling, and workout for when the world wakes up. 🚀"
47,Just getting started 👏 https://t.co/86zPgnDUwR
48,"RT @WomenandWeapons: Big news!! 📰 

We are absolutely thrilled to announce some enormous news and a big turning point in the Women and Weap…"
49,@garyvee Genuinely rooting for everyone. You can see it. 🙏🏼
50,@joshbobrowsky @AdamBombSquad @WomenandWeapons WGMI 🤝
51,You already know we’ve got that @AdamBombSquad notepad handy for all our bomb @WomenandWeapons ideas! 💣 https://t.co/PKS0zXs3Os
52,@PartyRockNFT Facts!!!
53,"Operation best shape of my life again begins today. It’s in my book, so it shall be done! 📖💪🏼"
54,@aquadreamerNFT @WorldofWomen Hahaha nooooooooo! 😂
55,@B_P_Murphy @WorldofWomen 🙏🏼 😊
56,@MsCryptomom1 @WorldofWomen Wir lieben dich!
57,@itisjustdi @WorldofWomen You are the best!! I am so happy we finally got to see you in person! 😊
58,"Conquering the world with my best friend. ♥️ 

Also repping my @worldofwomen.nft shirt! https://t.co/wHydW5Rphc https://t.co/9jzsfA9RkQ"
59,RT @joshbobrowsky: Do not sleep on @WomenandWeapons possibly the most under the radar female led project
60,@bobbyhundreds @WomenandWeapons @NFTSaraBaumann Amazing!! 🙌💣⚔️
61,"RT @WomenandWeapons: Over the moon to welcome @bobbyhundreds &amp; @BenHundreds to the @WomenandWeapons family!! 

⚔️♥️"
62,@WomenandWeapons @garyvee @garyvee officially at meme status! Love it! ♥️😏
63,RT @WomenandWeapons: When they don’t know about @WomenandWeapons yet ⚔️ https://t.co/s9T3walQKN
64,"RT @WomenandWeapons: GM WAWriors!  🌞 

We have officially reached:

• 5,610 holders
• 4.111 ETH volume traded
• 47.6k Twitter followers
• 3…"
65,"gm 🌞 

Have a beautiful day, my friends!"
66,"RT @WomenandWeapons: We can’t wait for this!! 

@alphagirlclub x @WomenandWeapons x @Crypto__Chicks 

Friends, food, movie, and your favori…"
67,"@mai_on_chain @meta_angels @AzukiZen We snagged our 5! So excited about it! 😊 

I love the gas reduction with the ERC721A. Great new change from @AzukiZen! So glad the team implemented it for @meta_angels!"
68,"RT @Lada_K_: Web2 me Vs Web3 me 
So glad to join the fam @WomenandWeapons #WomeninNFTs https://t.co/oGG0hvy62T"
69,"Thanks @WAWNFTBot!! We are in awe at the support for @WomenandWeapons! 

It inspires us to work every single day. We are just getting started. 🙏🏼 https://t.co/zgDs3uqahH"
70,@amber_vittoria gmgm 🌞 https://t.co/Zng6pd3CQT
