,0
0,"@wenmilk_eth I heard they were supposed to meet after cooltopia came out, but Disney got tired of waiting so they’re meeting with the cryptodickbutts team instead"
1,"@NFTpho I agree dude, exclusivity sucks. BTW if u or one of your friends has an extra crypto punk laying around can I have it? I’d love to be a part of the crypto punk community but I don’t have $300k to spend on one :("
2,Hello @opensea! [0xF9283e77f44C90669df3D2c5EBc3879952457F42] Please verify the Coolman’s Universe creator account or faith the wrath of Spesh himself.
