,0
0,RT @_GRADIS_: You being active in 20 discord servers https://t.co/Nc2hrLasPJ
1,Lmao 😂 https://t.co/MmJG4UEeSc
2,RT @justBricksNFT: Grand brickyon https://t.co/vNxQESGxkm
3,"Top 3 #Pixelmon species &amp; their floors

1. Kevin 3.85Ξ
Ugliest of all pixelmons, taking off after picked up by @exitliquidity1

2. Boremon 1.49Ξ
Ape, also ugly af but more affordable than Kevin

3. Nom Nom 0.5Ξ
Baby shark-penguin. Imo the cutest &amp; cleanest of the lot

Thoughts? https://t.co/AbiFRraJgM"
4,"RT @Jack_Raines: 1) Most of us are aware that Russia has decided to invade Ukraine.

Yet few know that Verdansk, the city in CoD: Warzone,…"
5,"RT @martinlacsamana: 🚨BING BONG - SUPERLATIVESS GIVEAWAY🚨

To celebrate the Repus Reveal, two lucky winners will be receiving either Superl…"
6,@GhostfaceTank @SuperlativeSS Clean!
7,"HOLY SH*T!!! THE REPUS ARE NOW REVEALING AND THEY LOOK F*CKING AMAZING!!!!!

Not sure which one to cop off secondary they all look rare lmao 😍

Well done @AriefWitjaksana @prasdiman @Luke_Santosa @goddamnft @ikhsanmutt @Joendy66 &amp; everyone else

@SuperlativeSS | @SuperlativeDAO https://t.co/YbhAz1mUQ2"
8,"@loomdart These ladies bricked up AF bro 🧱
https://t.co/EgfUVPjUMU"
9,@flyybot @Punk_2070 @justBricksNFT YES!
10,"RT @sweee_eth: Each @SuperlativeSS is entitled to a free “Artifact” mint, but only for the next 3 day window. So far, 83% of Artifacts have…"
11,"RT @cipcity: Thank you @SuperlativeSS &amp; @AriefWitjaksana for this beautiful honorary piece of my punk!

Can't wait for artifacts! https://t…"
12,"@SuperlativeSS ALL HAIL THE MIGHTY MALLACAN SAGE. LFG!
@blockbagel @exitliquidity1 @justT2s https://t.co/7uDtdP88sR"
13,"RT @SuperlativeSS: 🔥THE ARTIFACT IS HERE!!🔥

Fellow Superlatives, this is just a preview of the Artifact👀
Our new Website will be available…"
14,"RT @justBricksNFT: Congratulations to builders @justT2s and @p_hadzhiev! Enjoy your new @aether_city units.

In related news, BricksDAO now…"
15,"RT @DrOctokong: Don't buy @SuperlativeSS it's not pixelated and the founders are Doxxed, also a solid community. Move along.

#NFTs #NFTCom…"
16,"RT @justT2s: If you are a #justBricks holder, please vote for the @aether_city Units giveaway in Bricktopia&gt; #raffles.

You should browse t…"
17,"@justT2s @aether_city So cool man, is that a secret room or curtains haha"
18,"@oncyber_io @blockbagel @SuperlativeSS @justBricksNFT @SuperlativeSS 

Oncyber likes the art!!! 😍"
19,"RT @HollanderAdam: Genuinely psyched that @SuperlativeSS minted my honorary as part of a formal collection.

Hello hexagon, I missed you 😉…"
20,@_GRADIS_ I wish for gradis to soon get the recognition it truly deserves fantastic team fantastic community fantastic concept. We like the Gradis ❤️❤️❤️
21,@cxf_0886 @jumpmanft Goalsss! 🙌🏾
22,"@SuperlativeSS I’ll have 5 floor Superlatives, 2 rare, 5 artifacts and 1 superlative multiverse on the side. Thanks! https://t.co/lKnhknwlM2"
23,"RT @KevinSusanto: !Ooh, Honored to be One of @SuperlativeSS 
Honorary Members ✨✨✨

Shoutout to the team @AriefWitjaksana @prasdiman 
for th…"
24,@SuperlativeSS uhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh REPUS
25,"ARE YOU READY FOR THE REPUS?!

Check out this OnCyber gallery my friend and fellow @justBricksNFT builder @blockbagel put together in anticipation for the upcoming Repus free mint by @SuperlativeSS.

🔥 #FearTheRepus

Gallery here: https://t.co/J97rLGNmHV https://t.co/jFeqworkgf"
26,@CryptoTysun @cerealclubnft Ayeeee yetisssss
27,RT @SuperlativeSS: Mark your calendar and prepare to unveil the secret of the artifact 👀 https://t.co/Ov6v2B0Pbb
