,0
0,@shanebeeman1996 @thingdoms Let’s go! https://t.co/ma1mXtsIPF
1,@CrankyCritters_ You’ve gotta take a look at @thingdoms #DoGoodThings
2,Join a @thingdoms space happening now.  https://t.co/ogAwegBUHB
3,@ChezBeignet @EoghanSCrowley @lukeabc @thingdoms Happy New Year!
4,New blog post: on the proliferation of the PSL and Academy Coffee’s experiment: https://t.co/WXumyfFCqq #pumpkinspice #PSL #autumn #starbucks
5,You can subscribe to the #ACS newsletter at https://t.co/FSJXP4RNtj
6,"If this idea sounds of interest to you, please reach out and ACS will think about how to proceed from here. ACS will share some updates about this idea/vision in the forthcoming edition(s) of the ACS newsletter"
7,"The tour/visit would likely be capped from six to eight attendees over a two or three day period with plenty of “down time” to explore other cool spots in Aspen, Co. However, the centerfold of the experience would be Felix Roasting Co. at @HotelJerome"
8,"This would be a curated/private experience where the ACS audience would be able to sample all the drinks on the menu, receive a private tour of the space, and much more."
9,"You know how people make travel plans to visit Michelin-starred restaurants around the world? Is there anyone from the #ACS readership who would be interested in traveling to Aspen, CO and planning their itinerary around a visit to Felix Roasting Co. at Hotel Jerome?"
10,See the bottom of the post for the #AtlantaCoffeeShops ask….
11,"From the #ACStravels edition, Felix Roasting Co. is now open at @HotelJerome in Aspen, Colorado: https://t.co/56pEN9Uy2v"
