,0
0,@Stuz0r Feels bad :(
1,Hate being in that weird non creative funk
2,RT @CaptvArt: End war https://t.co/DgNE4nW9Ao
3,@_KidEight Me
4,End war https://t.co/DgNE4nW9Ao
5,@DrifterShoots Much love and respect 🙏🏻
6,RT @BoredApeYC: Gordo asleep. V posts leaks. https://t.co/RUKaPQRQ64
7,@JeremyAlanMOB 😍
8,@JeremyAlanMOB Yes
9,@catelloo_ ❤️
10,@TheDizzyViper Welcome 🙏🏻
11,Distorted Reality https://t.co/2nLRBR4ns1
12,@jstngraphics They are not even close
13,@jstngraphics 😎
14,@thisisasmu @unborncreate @kitbash3d @Blender Killed this
15,@CryptoDropzy @theprincelail @DegenToonz 🙏🏻
16,RT @CaptvArt: Made some art today https://t.co/GQEFxdOFHJ
17,RT @VaporFashion: Altered ⭐️💫#art by @CaptvArt 💕#vaporwave https://t.co/g1wVSxtOF0
18,@NftJoshua 🥲
19,🙏🏻 https://t.co/R59lUtTJvf
20,"RT @PKudiwal: Picture 1 is a project that made 70M $
Picture 2 is an unsold 1/1 artwork.
.
Here's a summary of current market situations. F…"
21,"RT @QualityNames_: Congratulations to @machibigbrother to acquire this amazing Space for great deal. 

312 ETH 

105 ETH

148 ETH 

150 ETH…"
22,Yo @DegenToonz at 1eth 👀
23,Made some art today https://t.co/GQEFxdOFHJ
24,@HanYoloNFT LMAOOO
25,Me playing Elden Ring https://t.co/I5p5um4hPR
26,@ObserverDrift 😂😂
27,@huleeb My fav so far
28,@dave_schick 😂
29,Gm https://t.co/GC7ryZosT4
30,Oh @DegenToonz headed to the moon https://t.co/oltovmyrkJ
31,RT @Cico6880: 🔥🔥🔥🔥🔥🔥
32,"RT @MetaFashionNFT: We've been quietly working on a lot of the behind the scenes stuff you don't hear too much about, with that being said…"
33,RT @CaptvArt: The ring https://t.co/ZIMQewAXt8
34,RT @greatmando_nft: Degenz paying $70m for a dick in a field. https://t.co/RzZu6mrAjw
35,@greatmando_nft @fvckrender @lvcidia No shot lmao
36,@Ry_Hawthorne 😍
37,"I’ve said it before but I’ll say it again 

SUPPORT REAL ARTISTS WITH REAL VISIONS"
38,RT @fvckrender: So much money could be flowing to emerging artist grinding everyday to make one small sale 😵‍💫
39,This just pisses me off to be honest. https://t.co/cSI3ytDMKg
40,RT @GoTrillaGorilla: I heard y’all talking shit about my son’s preschool class pixel art on @Pixelmon y’all heartless
41,Holy fuck. That is all. https://t.co/q9w81tNHCZ
42,@Ry_Hawthorne Holy fuck
43,@jeffalomaniac @meta_fabric It’s a vibe 🤝
44,@meta_fabric @jeffalomaniac 💯💯💯
45,@thisisasmu Always fun
46,The ring https://t.co/ZIMQewAXt8
47,@Stuz0r Fuuuck im jealous
48,@SERVKRILLZ 😂😂
49,It’s wild that people spend their time each day to find nft tweets to just type “I took a screenshot and they are mine now” I wish I had that much free time
50,@JohnTerry26 @BoredApeYC 🔥🔥🔥
51,IM SO HYPED ON @MetaFashionNFT
52,@Loopifyyy Thank you for your service ❤️
53,@Striker5962 👏🏻
54,@JLukevich 😎
55,@Stuz0r How did you find that video of me?
56,GM you amazing community ❤️
57,"RT @boredapebot: Bored Ape #1837 was purchased for 569.0 ETH 
 https://t.co/dXWzY97VPh"
58,"RT @WSJ: Purchased by celebrities from Justin Bieber to Gwyneth Paltrow, Bored Apes have been all the rage in the NFT world. Some investors…"
59,"RT @VitalikButerin: Reminder: Ethereum is neutral, but I am not."
60,RT @ZoeMain92x: Dope 🔥🔥 🚀
61,Praying for peace ❤️
62,RT @CaptvArt: Have a nice day https://t.co/DNhzPuJrsC
63,@NathanHeadPhoto 😂😂😂
64,"RT @ShrewdCharlie: I haven’t gotten a good answer when it comes to utility for @InvsbleFriends, besides the art and possible whitelist for…"
65,@DegenToonz @JeremyAlanMOB @hillywrld @theprincelail
66,RT @DegenToonz: We wanted to give a lucky #TOON holder one of the sought after ROBOTOON! Currently a 1 ETH floor! This will be a HOLDER onl…
67,Have a nice day https://t.co/DNhzPuJrsC
68,I fucking love this @winterbearsnft https://t.co/HZ83MFqNEs
69,@fvckrender 🔥
70,@huleeb Love this
71,A 10k project created by ARTISTS with a strong focus on details and design. A kick ass roadmap with IRL and metaverse perks 👀 don’t sleep on it @MetaFashionNFT
72,Don’t sleep on @MetaFashionNFT ! I’m so stoked on the direction this project is going 👀 jump in the discord and join our community https://t.co/xxqCrECnXP
73,@dreamphography 🙏🏻
74,@si6ty1 Lmao
75,"@3oldier @MetaFashionNFT There is many ways, one being active in the discord 🙏🏻"
76,RT @MetaFashionNFT: “ We are putting so much work and detail into making @MetaFashionNFT super high quality lots and lots planned for it! “…
77,@Mikesuag @MetaFashionNFT Lets gooooo
78,@Huppings Why can’t people do anything besides and ape
79,We are putting so much work and detail into making @MetaFashionNFT super high quality lots and lots planned for it
80,@whoiscook73 @vmas Thank you
81,@RealJJRC @vmas Thank you
82,@miraanrahim @vmas Thanks homie
83,I’m still hella proud of this project I did for @vmas 2021 https://t.co/KXHktStpYl
84,@CryptoDropzy Thanks 🙏🏻🙏🏻🙏🏻
85,"@newlookchris @DegenToonz Love it since I just did work for mtv, so it’s fitting"
86,@Reksir420 Right?
87,Love my @DegenToonz https://t.co/G627BArONG
88,RT @femzor: Yall give too much visibility to unoriginal art
89,@winterbearsnft 😂
90,Eth looking good https://t.co/onPow3M8BN
91,"RT @JeremyAlanMOB: This LIL ASTROS are just amazing! 🔥

@CaptvArt"
92,"GM! There is still a few LIL ASTROS available before we are sold out! 

Collect one and join the community and also get instant WL to the @MetaFashionNFT 10k collection 

https://t.co/VkNjsXRuDp https://t.co/Md7JzMry0l"
93,RT @GoodiesNFT: 🗣️ SHOUT OUT to the talented @CaptvArt for this stunning commission piece! TYVM! It was great to work with you! Go check ou…
94,Wen $ape
95,@TheHumanoidsNFT #NOIDGANG @JeremyAlanMOB @hillywrld
