,0
0,"Thinking about getting a @cooldogs, love the art, how is the community? 👀  #CoolDogs"
1,Gm
2,@MargaritaMama25 @ExpansionPunks Twins!
3,"Just got my first NFT and joined the xPunk family! Do #xPunkFollowxPunk ? 
#xPunk @ExpansionPunks"
