,0
0,@nft_droplets @helloKPB
1,"RT @nft_droplets: you guys asked, here it is👀

we have 1 driplist spot for someone who does the following:

likes, 🆁🆃 &amp; tags a friend💧"
2,"The Future is @transparenttina 
#transparenttina https://t.co/K8WKe4ePCF"
3,"Come join our Nutty Gang @youaregoingnuts! Adorable art and P2E WL!! So addictive

https://t.co/gJtBGSM0XQ"
4,So let's come together and help the world improve and heal in this imperfect but beautiful world. To become a community that makes substantial positive change! LFG @transparenttina!! #WomenInNFTs
5,"We know that change can be made through the online community. Powerful change. So why not bring attention to what matters and what has not seen enough light. 
This is #transparenttina"
6,"If it is this hard for us regular people, imagine how hard it can be for those who have gone thru much more. Living with visible or invisible disabilities...And women who have to work twice as hard to get to top positions in any field..."
7,We all go through life with a lot of difficulties. Some days are harder than others; some can be paralyzing. It becomes even harder in this fast paced world where everything can change in seconds.
8,"Supporting @transparenttina coz they support those under represented &amp; no one else has done this in the space!! #transparenttina 
#womensupportwomen #youareheard #acknowledged"
9,@ryandcrypto @WabiSabiNFT @helloKPB @wagmimami
10,"RT @ryandcrypto: 🎉 @WabiSabiNFT WHITELIST SPOTS GIVEAWAY! 🎉

To enter:

- Follow @ryandcrypto &amp; @WabiSabiNFT 
- Like + RT
- Tag 2 friends!…"
11,@TheNFTAncestors @WabiSabiNFT @D_Infiltrator @helloKPB @reddmochi111 @SeeWidge
12,"RT @TheNFTAncestors: Wabi Sabi X Ancestors 

Partnered up with The imperfectly perfect
 #WabiSabi  to #Giveaway

🍭 2 x #Whitelist  spots…"
13,RT @5TimesDistilled: Niceeeeeee
14,@TastyBonesNFT Never missed one but they love missing me
15,"RT @TastyBonesNFT: thanks to @FishmansLabs for giving us 10 WL spots to giveaway to our followers! ☠️🐠

to enter:
- follow us + @FishmansLa…"
16,@nft_droplets @FishmansLabs @helloKPB @SeeWidge @reddmochi111 @wagmimami @_KINGPOLARBEAR
17,"RT @nft_droplets: Droplets x Fishmans Labs giveaway! 🎁

5 WL from Droplets💧
3 WL from Fishman's Lab 🐠

1️⃣ Follow @nft_droplets &amp; @Fishmans…"
18,@yugantar_m @MadMouseCircus @_KINGPOLARBEAR hope we can finally win a giveaway lol. project looks really cool!
19,@yugantar_m @MadMouseCircus @helloKPB
20,@Conflcts @AntonymNFT @helloKPB @JesserilJ @10KTFshop @wagmimami @SeeWidge
21,"RT @Conflcts: // Antonym Whitelist Giveaway 🕊

Giving away: 
• 5x A-LIST (WL) Spots For Antonym

To enter:
• Follow @Conflcts &amp; @AntonymNFT…"
22,@Ladimeji3 @cozybearsdao @helloKPB @SeeWidge
23,"RT @Ladimeji3: WHITELIST GIVEAWAY
I am giving away 2  @cozybearsdao WL spot courtesy of the team! 

How to enter: ⬇️

- Follow both @Ladime…"
24,"RT @TastyBonesNFT: 🚨BLVCK BONES GIVEAWAY🚨

our frens over at @blvckparis allocated 5 WL spots to our followers!

- follow us + @BlvckParis…"
25,@0xdoughnut @WabiSabiNFT @theboywit @0xchuckk @helloKPB @wagmimami @sup3rgeo
26,"RT @0xdoughnut: WabiSabi WL Giveaway 🍭🍭🍭

3 WL spots for @WabiSabiNFT are up for grabs.
S/O to @theboywit, @0xchuckk and the rest of the te…"
27,@kumoxworld @WabiSabiNFT @nikkisiuhaiart @_KINGPOLARBEAR @wagmimami @RightClickChris @SeeWidge @TheCaptain_Nemo
28,"RT @kumoxworld: Super happy announce a longterm partnership with our frens at @WabiSabiNFT!
Post launch, we'll be hosting a charity auction…"
29,@kurorobeast @wagmimami @JesserilJ
30,"RT @kurorobeast: 📜 The latest info on Beasts 📜

Also a sneak peek into our rebranding 👀

Spread the word! 5 WL spots being given away betwe…"
31,@TastyBonesNFT @LilBlobsWorld Yessss! Another very exciting collab from @TastyBonesNFT &lt;3&lt;3&lt;3
32,"RT @TastyBonesNFT: thanks to @LilBlobsWorld for giving us 5 WL spots to giveaway to our community! ☠️

to enter:
- follow @LilBlobsWorld @T…"
33,@TrevonDiggs @embersnft @embersnft @embersnft
34,"RT @TastyBonesNFT: thanks to our frens over at @HelloBlacklist for giving us 5 WL spots to giveaway to our community! ☠️👻

to enter:
- foll…"
35,@EdinNFT @LilBlobsWorld @_KINGPOLARBEAR @helloKPB @JesserilJ
36,"RT @EdinNFT: 🌈3x WL giveaway LilBlobsWorld 🌈

•Must be following @EdinNFT and  @LilBlobsWorld
•Retweet &amp; like this tweet✨
•Tag 3 Frens⭐
💗En…"
37,@FruityLoopzNFT yeaaaa lets go!! https://t.co/1ATchiSWOq
38,"@FruityLoopzNFT @helloKPB @RightClickChris @JesserilJ 

https://t.co/MWEkLLckXZ"
39,"RT @FruityLoopzNFT: Today is a big day in the FRUITYVERSE!!

🚀We launch our official website at 2h22pm (EST) on 22/2/22!

🎁🧧A Fruteezz will…"
40,RT @CultOfKiwi: Cuteness overloaded! We are opening the doors to our Fruity Loopz Discord channel next week featuring all kinds of Fruitz –…
41,@UglyPeopleNFT @caricaturat @_KINGPOLARBEAR @RightClickChris @JesserilJ
42,"RT @UglyPeopleNFT: 🃏10 WL TWITTER GIVEAWAY🃏

Anybody who👇🏼

1) Follows @UglyPeopleNFT &amp; @caricaturat 
2) Retweets this post
3) + Tag 3 ugly…"
43,@TastyBonesNFT @cartoonsnft @tastybonealerts @_KINGPOLARBEAR @helloKPB @wagmimami
44,"RT @TastyBonesNFT: thank you to our frens over at @cartoonsnft for giving us 5 toonlist spots to giveaway to our community!

to enter:
- fo…"
45,@cartoonsnft @TastyBonesNFT So excited for this!! LFG!!
46,"RT @cartoonsnft: 🚨 paging all toonies 🚨

we are very excited to announce our partnership with @TastyBonesNFT ☠️

we have offered a group of…"
47,"RT @inklxb: Speechless rn! Y’all are super amazing!
LET’S GO!!!!! https://t.co/WKSLAQux2G"
48,"RT @TastyBonesNFT: presale phase has now concluded! ☠️🎉

4.5K minted
2.8K owners
1.889Ξ floor price
3.0K volume

we’re now finalizing the l…"
49,"Big CONGRATZ to the @TastyBonesNFT team! Most legit team in the nft space!

Always putting the community first: 
- affordable mint price
- smooth minting, low gas 
- awesome collabs
- health initiative
What more can u ask for?

Excited to ride to the moon with ya’ll!"
50,"RT @RaritySniperNFT: Tasty Bones X Rarity Sniper ☠️🍦

We've partnered with @TastyBonesNFT to be their Exclusive Rarity Partner! 

To celebr…"
51,"RT @koonimalsnft: "" Everything you can imagine is real. "" Pablo Picasso ✍️

Meet Koonimals … A universe where Ludwig Koons lets imagination…"
52,"RT @TheRamenNFT: Have you ever tried tasty ramen bones? 👀

@TheRamenNFT x @TastyBonesNFT

We will be giving away:
100 discord invites to Ta…"
53,"RT @TastyBonesNFT: exclusive pre-release merch bundle is coming…

which one are you copping? 🌝 or 🌚?

50 random people who buy the bundle w…"
54,"RT @diverse: Still need WL? Just RT this 👻 
#NFT https://t.co/XUSBhMJDVr"
55,"RT @MonoLocco_: 🐒  MonoLocco X Tasty Bones 💀 

🎁 5x TastyBones WL Spot
🎁 5x MonoLocco WL Spot

1️⃣ Follow @Monolocco_ and @TastyBonesNFT…"
56,"@approvingcorgis @coolcatsnft Congratulations on the 6,666 minted!! Been waiting for this giveaway and it's finally here!

0x3C440C7611891aF7654BC1F452D75A4D3204aa1f

@RightClickChris @helloKPB @JesserilJ @SeeWidge"
57,@TastyBonesNFT @NotoriousAliens #NASAverse to the moon!!
58,"RT @TastyBonesNFT: future looking good with special collab - NASA tasty bone spaceship 🚀 

5 NASA WL + 10 TB invites

- follow us + @Notori…"
59,"RT @TastyBonesNFT: our friends from @theothersideNFT provided 5 WL spots to giveaway to our community! ☠️

to enter:
- follow @TastyBonesNF…"
60,@approvingcorgis @coolcatsnft Can’t wait for this giveaway!!!
61,@WonderPals @mikididthis @yolaeric You guys have the most amazing fan art! no joke! wish i could contribute but am nowhere as good &lt;3&lt;3&lt;3 Supporting you guys!!
62,@cerealclubnft @wagmimami
63,"RT @cerealclubnft: Launch date has been announced! February 15th!

-Weekend Whitelists -
10 Spots

Simply retweet to enter :) - Ends in 48…"
64,"RT @TastyBonesNFT: We and our partners @approvingcorgis want to thank everyone for helping us raise ~$66,000 from our charity auctions❤️❤️…"
65,"RT @TastyBonesNFT: mark your calendars, the bones are coming ☠️ https://t.co/uBFmL5x3d6"
66,"RT @FangGangNFT: 💜 Fang Gang x Tasty Bones 💜

Giving away 1 WL spot and 100 Discord invites for Tasty Bones! 

Check https://t.co/jVxtWxUyn…"
67,RT @inBetweenersNFT: We’re giving away 5 Tasty Bones WL❗️Thank you @TastyBonesNFT for adding the @inBetweenersNFT Heart Snap and Yellow But…
68,@AntonymNFT @TastyBonesNFT @_KINGPOLARBEAR @Cpt_N3m0_v2 @RightClickChris @SeeWidge @Lordiclaire @JesserilJ @sup3rgeo @Bone_c0llector
