,0
0,@ashrobinqt @pd9193nft @yungbasediv
1,@PacioliDi @alienfrens What’s Gucci https://t.co/vr14C67lGu
2,I made a Twitter specifically for my @alienfrens I love y’all https://t.co/wKUjTKQNx6
