,0
0,"@berilKarabulut Wordle Türkçe 254 4/6

🟩⬜⬜🟨⬜
🟩🟩🟩⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩

🥳💚"
1,"RT @fvckrender: If you want a project to succeed, dont wait for the creators to do it all, you own the project when you buy it, build aroun…"
2,"RT @Ukraine: Stand with the people of Ukraine. Now accepting cryptocurrency donations. Bitcoin, Ethereum and USDT.

BTC - 357a3So9CbsNfBBgF…"
3,"Love and support for the people of Ukraine 💙💛

@reli3fxyz &amp; @EfdotStudio #NFT https://t.co/kIb77PbaoA"
4,@CoolCryptoKid @WoodiesNFT sevgiler 🙌 cc: @peker_eth
5,RT @CoolCryptoKid: Hey guys! Look what I got in the mail today.. NFT World gives you a lot of new friends! Thanks to @rssnft @WoodiesNFT ht…
6,RT @woodiesbot: Woodie #3639 bought for 0.28 ETH (687.26 USD) by rssems from asakasa https://t.co/4u2pIluRzH https://t.co/AA3oO6ksNZ
7,"RT @arialxjade: this is incredibly frightening news. my heart is with the people of Ukraine. NFT’s and Twitter will be here tomorrow, those…"
8,RT @muratpak: This kind of destruction violates all universal values.
9,"Minted some beautiful @metavatar_app gradients ✨

https://t.co/RvL5zOvsCI https://t.co/bXkJu5n69d"
10,"🎁 Gifted my friend a #desertminis 🌵

Perfect companion for her @crypto_coven 🌙

https://t.co/wRR3lCVa7R https://t.co/dC79dsIn2i"
11,"Sometimes great design means adding friction at the right moments. 

Thanks for all the great work @LooksRareNFT 🙌 https://t.co/wllYbxjFC9"
12,RT @chriswallace: https://t.co/PrNs1rMont
13,"💡 Tip: By blocking, you can remove bots or people you don’t like. 🤭 https://t.co/wAMa0aADb6"
14,"RT @EfdotStudio: Art Thread #1, inspired by @MikeSchmidt_eth 

🎨 Post some of your unsold art below with a few words 👇

- links are good to…"
15,Wen NFT fractionalization 👀
16,One of the most important accounts in NFT space 👇 https://t.co/T21K5zztkq
17,"RT @EfdotStudio: ""HI3R0GLYPHS"" 👁〰 A look behind the scenes 

NFT + letterpress edition on @Blockparty  👉 only a few left!  https://t.co/xTp…"
18,"RT @SkiranoETH: Blaming @opensea is easy.
But wallets providers are just as responsible for this.
We need better UX to inform and educate p…"
19,RT @_alexmaceda_: im so happy this already sold :))))) i have been experimenting w/ digital painting on and off for the past year &amp; only re…
20,@EfdotStudio @Blockparty So excited for this
