,0
0,"RT @gmoneyNFT: Next time you think you’re down bad, just remember that .@justinbieber just bought a floor ape for 500 ETH."
1,RT @iRyanBell: These new hoodies… 🔥 https://t.co/cNjM4AjIuN
2,@anneouellet94 @PoolTogether_ Congrats!! Can’t wait to see where you go 🚀
3,RT @farokh: The BAYC floor has now flippenned the Punk floor. https://t.co/AqtY14j7p8
4,RT @UpshotHQ: The second installment in our machine learning and NFT pricing series. Take a look and let us know if you have any questions…
5,"I’m on @withFND 🌐

0xB2E59Aa2e719644Ac37eAC2ACa770EfdE5286466

https://t.co/KoyVLlnVpz"
