,0
0,"RT @avaholik86: Today was one of those days where I said to myself “God, I cannot wait until #SAFEMOON retires me and I don’t need to depen…"
1,"RT @GREEKDEFIGURU: #SAFEMOONARMY IM NEVER EVER SELLING #SAFEMOON. LIKE, RETWEET, AND FOLLOW IF YOU AGREE"
2,"RT @SafeMoonVeteran: Every time I hear @CptHodl mention 
#SAFEMOONBLOCKCHAIN &amp; #SafeMoonMeshNetwork I get this I NEED More mentality 

#SAF…"
3,https://t.co/GitXH3W1u1 https://t.co/WsayXyaEW4
4,"RT @GlowTokenLLC: 💰Feb 19th - First daily lottery winner is 0xaE07fec6c1dA4ab130F350861d88a12b52C4d803 for $128.64

Join our Discord:https:…"
5,"RT @FaboisMe: @safemoon “ Going on the journey together is just as important as the journey itself. “ 

#SAFEMOON https://t.co/mNqEsp91lM"
6,@kyenwest @ElSafemoon95 Yes! https://t.co/fm9L6D2WZG
7,@BensonJeanloui1 500m volume…
8,"RT @HeatherrGray: #SAFEMOON will grant you the financial freedom you want, rt if you believe"
9,RT @safemoon: 47 6f 69 6e 67 20 6f 6e 20 74 68 65 20 6a 6f 75 72 6e 65 79 20 74 6f 67 65 74 68 65 72 20 69 73 20 6a 75 73 74 20 61 73 20 69…
10,"If anyone feels the urge to tip me for being fabulous, please do so! 😍☺ https://t.co/rSqpPumVRF"
11,Same! https://t.co/rsBvkKow4Z
12,Great team! Just bought my first bag! https://t.co/fKzrwYqIls
13,"RT @GlowTokenLLC: Feb. #charity donation 
#glowarmy #SAFEMOONARMY All of you made it possible to donate $7,195 to help Kika Children Cancer…"
14,"RT @GlowTokenLLC: Everyone that bought #GLOWTOKENLLC  made it possible to make a child’s life better! You all bought the toys, Thank you al…"
15,"RT @Vicoseven: #SAFEMOONGLOBAL that's the tweet. Help me out SFM Army and let's trend it. 💯🌐

#safemoonarmy #safemoon #safemoonfamily"
16,"RT @GlowTokenLLC: After a long day of shopping for toys for us to bring to a orphanage in Alkmaar🙏🏻

#GLOWTOKENLLC #GlowV2 #BSCGem #SAFEMOO…"
17,"RT @MandalaEx: We're going global...

#MandalrianArmy 🤝  #SAFEMOONARMY https://t.co/rR69rhPMZp"
18,@KaylaChowShow I’ll take all three off them!
19,RT @SafeMoonTrust_: This machine is unstoppable!!
20,RT @FaboisMe: “ You all know you can swap any BSC token to any BSC token on our wallet right? Same with Eth. Imagine if we took that a step…
21,"O yeahhhhhhh! Go volume, go volume!! https://t.co/UYdMaeMuRL"
22,"RT @SafemoonZilla32: Here’s the listing we’ve all known about….next up @binance 👀 

Make it happen @cz_binance 👍🏻"
23,https://t.co/0dxD13szQP https://t.co/I9DtgI7Kw2
24,"RT @xStaT: Something big is coming! I can feel it! 

@TheFudHound has been too quite"
25,RT @CoinAstro_io: Retweet if you didn't sell #SAFEMOON during the market crash.
26,RT @Arrow19Broad: #ThirtyHue 👈🏻
27,@SafeMoonLegion What with this? I'm lost..
28,"@cosmic_kris Ik neem BNB op(en stort) via Litebit, werkt prima en snel!"
29,It only mentioned start trading… nothing bout a buyback.. or did i miss something? https://t.co/LDP0pT0YrQ
30,RT @Crypto_Ghostz: Great explanation from Ailbhe on #safemoon discord about NFT and wind turbines. This is one of many things I’m excited a…
31,just loved watching the SafemoonSunday on my Oculus! Great quality improvement from you guys! #SafeMoonAMA https://t.co/SBrNSaEwqG
32,@captainloozer How?
33,"@Vicoseven @captainloozer I got one, where do we meet?"
34,"So, #SAFEMOONARMY. I hold 2M Safemoon V2..
What will my daily income be end of this year? https://t.co/7nU64m72Js"
35,"RT @daslug420: #SAFEMOONARMY is breaking down the doors at #BitMart.  Time to act Bitmart, my homies need their money. 

#WenBitMart 
#wenb…"
36,Great explaination! https://t.co/Tcb6qAm50O
37,"Agree, great technology, but what is in it for us the Hodlers? (Diamond hands here with 2mil v2, not planning on selling ever) https://t.co/IYUxf1VloP"
38,Lol https://t.co/yCFTqO3Rtt
