,0
0,@DentedFeelsNFT #feelsfollowfeels https://t.co/70rOA0MifN
1,@AnnaWolfeSeries @DentedFeelsNFT https://t.co/WCXFmSWO8k
2,@NoKapRich #feelfollowfeel https://t.co/gnIQALWO4t
3,#NewNFTProfilePic NFT by DentedVault . Can I get introduced to all my fellow @DentedFeelsNFT ? https://t.co/2roo4OXhjA
4,RT @KyleForgeard: This owner is a beauty 😂 https://t.co/R4WuvGbSsV
5,"RT @ohhshiny: 1/ WHY PFP PROJECTS MAKE SO MUCH SENSE🧵

No matter how long you’ve been in the NFT space, the thought “why the hell are there…"
6,Gm. Let’s make it a great 🐫 day
7,RT @metacard: Only 237 METACARD’s are listed on OpenSea. 🌋
8,Bullish on people trying to innovate the space
9,"RT @0xpri3st: Broke my rule, shoutout Alpha Gang and @NoKapRich for @DentedFeelsNFT Feels List spot. Haven’t minted an L1 project in a whil…"
10,@NoKapRich Blesss meee broo alpha access here https://t.co/6GvsbJHCvW
11,@NoKapRich Dman69.eth#3111
12,@itsdanataylor :) https://t.co/t5UefYUE0P
13,@Tyler32608649 @BoonjiProject https://t.co/rKrkboyJAS
14,@famous_dyl @brettcall14
15,RT @BoonjiProject: DAO…#boonjiproject
16,@ChubbyKaijuDAO Alriiighttttt!
17,Where are all my @ChubbyKaijuDAO at? #crunch https://t.co/BcfG7WYnqG
18,"RT @Loopifyyy: every time you think of selling your ETH

remember this picture https://t.co/ZRDlBOkC7F"
19,@AllRyLHedUp This you?😂 https://t.co/s8DqaWyCH5
20,@jpill_7 It’s no match for our jpegs!
21,I see no lies https://t.co/a9IcMEy7KY
22,@BDaddyPen @CryptoMories @ChubbyKaijuDAO 💪💪 https://t.co/FTsg96dz8w
23,RT @NFTsAreNice: Just a reminder that your whole networth is in the hands of this guy https://t.co/79lV5pQi8U
24,@cartoonsnft @kcoops24
25,@cartoonsnft 🅿️🅿️
26,"RT @cartoonsnft: we’ve found our way back to the tooniverse 🌈

all interactions on this post will be considered for toonlist 💜 https://t.co…"
27,@metacard Me
28,"@john @john @BoonjiProject great art, great community, devoted team"
29,@NoKapRich @HomieGsNFT We also alpha😎 https://t.co/htffJWevfg
30,@NoKapRich @HomieGsNFT Dman69.eth been wanting a homie!
31,@Bags_ETH @NoKapRich ✊✊
32,"RT @Chek_24h: Our secret project is coming 🤗♥️
I will be Whitelisting first 3k to retweet this tweet and follow me 😊"
33,@AbductionSquad @CryptoMories #abductionsquad @Jheckler4 @jbr7288 @MolishAndrew
34,"RT @AbductionSquad: We’ve Abducted your #FaMorie (#5260 $1800 Value) @CryptoMories 

To save them from us 👇

- Follow @AbductionSquad 

- W…"
35,1 week in NFTs feels like multiple months IRL 🤯📈📈
36,RT @obgETH: day 9 of encouraging @JohnStamos to change his pfp to @BoonjiProject! #wenstamos #boonjiproject #NFT https://t.co/zwWU0kmqMn
37,@ParacelsusNFT #ForPangea @brettcall14 @JackPilling3 @GriffinToren 🤝🤝🤝
38,RT @metacard: Full Send x Alien Frens collab art has been unveiled 👀 https://t.co/KTFCyLy7jC
39,RT @topshotfund: a Mark Cuban owned Instagram account w/ 1.7m followers is promoting a shadowy cabal of scammy copy pasta NFT projects with…
40,😂 https://t.co/5EOzvvDIpw
41,@MurakamiNft Let’s go
42,RT @NFTPhilly: RT for an NFTPhilly meet up this weekend
