,0
0,"RT @worldofwomennft: WoW #5672 just sold for 567,000 GBP at @ChristiesInc London Evening Sale! 🤩

Thanks to everyone 🤵‍♀️ who witnessed thi…"
1,Good luck today @YKarkai and @worldofwomennft at @ChristiesInc. Suited up. #WomensHistoryMonth https://t.co/HSqAdBdYDQ
2,"So by virtue of being the laughing stock of #NFTs, Kevin became quite valuable (4+ ETH)? 2022 may end up being more interesting than 2021 after all https://t.co/GZXXFYtv7L"
3,"RT @AkuDreams: Retweet and follow for a chance to win a 3D Aku from tonight’s “Becoming Aku” Drop. 

One random winner will be selected ton…"
4,@dabit3 Seven Eves. Also Neil Stephenson but way better than Snow Crash
5,Well I guess I decided I like the community and vision behind @grayboysdao + @nftworldsNFT. LFG https://t.co/OLCRVObiDs
6,My Twitter feed is starting to feel like everyone is doing Flat Stanley with @VitalikButerin. Thanks for being a good sport man
7,"Instead of throwing shade at @opensea, get smart on security. 91% of security breaches start with phishing emails. And that’s Web2. If you’re going to have a meaningful wealth in crypto/NFTs spend some time learning how to be safe. Start by checking senders and links closely."
8,Looks the upstairs door to my @RTFKTstudios LootPod just opened up. Feels like #metaverse multiplayer is just around the corner..... https://t.co/DU44jrzIqy
9,"Picked up 2 @nftworldsNFT 🌎s today. Couldn't ignore the @Minecraft link any longer. Once 140M+ Minecraft players realize they can make money ($WRLD) doing the same thing, it's going to be a creator/builder frenzy. Plus @RTFKTstudios has a 🌎 too. #CloneX takeover https://t.co/zVMQnZxLOo"
10,"I think sometimes we forget that @opensea built us all an #NFT marketplace BEFORE all the HYPE. I'm a fan of competition from the likes of @LooksRareNFT and @the_x2y2, but let's remember that OS helped put NFTs on the map. All us degens would still have LinkedIn PFPs without them"
11,@joshbobrowsky @BoredApeYC @RTFKTstudios #CloneX
12,"RT @AkuDreams: Chapter X: The Finale 
February 21st at 2:00 pm EST
@bonhams1793 x @niftygateway 
-
The one-year anniversary of Chapter I ht…"
13,@RTFKTLukson You called?
14,Who is going to #ETHDenver?
15,@opensea 1. Single offer on a whole collection.          2. Wallet NFT analytics
16,RT @rafagrassetti: ✖️ https://t.co/rQxySJ0O2D
17,@RealTalkFIRE @RTFKTstudios https://t.co/GBbJ0sIMQb
18,What was your first #NFT purchase? Mine was a @troubleandrew Guccighost on @niftygateway for $450 on 11.27.2020. Paperhanded it an hour later for $625. Opened my eyes to NFTs. Now I've got 💎🙌
19,@magdylan Thank you!
20,So I heard we might be going to @ChristiesInc ? #TheTimeisWoW @worldofwomennft https://t.co/cxSGC12Ik8
21,@magdylan I sadly don’t have a tux but I think these two of my classy WoWs are ready for anything https://t.co/m401kLSkDb
22,"@brendan_opensea OpenAI Jukebox tried. Emphasis on ""tried"". It's good for a laugh though"
23,"When you want to talk #Web3/#crypto/#NFTs and learn something, who do you go to? I'm not talking about who tweets the most, I mean like really learn from. For me, it's easy:
- @brendan_opensea 
- @RogerDickerman 
Thank you both for consistently bringing it and pushing the limits"
24,"If the owner of aaron.eth sees this, please DM me. Or if you know who owns it, pls DM me. Looking to make a deal 🤝"
25,@RTFKTLukson 🤝 https://t.co/o5ruPBLQZG
26,"I keep a concentrated portfolio of high conviction projects backed by incredible teams (@RTFKTstudios #Clones &amp; @YKarkai's @worldofwomennft are examples). I do my RESEARCH. I just cloned into @Micah_Johnson3 @AkuDreams. The story, art, message - powerful - https://t.co/HffENy4LLT https://t.co/bR2hKyk0NQ"
