,0
0,This guy 😍 https://t.co/r9K9nKUvek
1,"Currently away working on a film production, so i'm a little quiet on here. But here's a frame from last summer, Kodak Gold and all its vibes 🎞️ #kodakgold #35mm https://t.co/29FOr00lfr"
2,That morning light 🎞 https://t.co/zvEVEkLXjq
3,RT @divin2sea: @max_maxster Think @max_maxster this fellow is creative in sharing good insights in an impactful way. That's artistry as wel…
4,@divin2sea @max_maxster @Ololotta @Anna_V_E @IDerech @lightistic @dredogue @zentanakata @trevorjphoto @minemanapturel @PatrickClelland @johnnyhomemovie Thank you 🙏🏻
5,"10 1/1 photos shot during a 48hr time window, each one is captured on Kodak film 🧡
https://t.co/kswSzdUXCt https://t.co/MRLajJzWGT"
6,"Less than 24hrs in Barcelona, but I managed to shoot a few rolls of film. Excited to develop these 🎞🧡 #35mm https://t.co/lEoNU4GzgY"
7,Incoming call 🎞 #portra400 https://t.co/T11lSEOtP6
8,RT @Artoria_Artoria: gm to everyone helping someone who needs it today❤️ https://t.co/faGrPpWxVP
9,"@darklunni I used to have a Bessa R2A, but I sold it a year back. Was such good camera!"
10,@darklunni Voigtlander body 😍 I used to love mine
11,A frame form a summers evening 🎞 #35mmfilm #portra400 https://t.co/p5OFyDUPWV
12,@firsthandtweets https://t.co/F4DZumKvv2
13,@ce_joiner Is that second shot cinestill? Love them
14,@darklunni @withFND https://t.co/XxVGcjHPsa
15,"The collection includes 10 1/1 photos shot during a 48hr time window, each one is captured on Kodak film. #35mmfilm #nftphotography #nyc"
16,"In a city with towering buildings and bustling streets you can often feel overwhelmed, but these fractions of a second between the caos show the beautiful moments of everyday life."
17,"It's part of my Lost in nyc collection, this series of photography tells a visual and romantic story that captures everyday moments."
18,"Manhatten Nostalgia was captured on a Leica M6 using Kodak Portra 400, and is a 1/1 piece.

https://t.co/wwGYrD9dFa"
19,"In a city that never sleeps, moments of tranquility can be hard to come by. But watching as the sun sets over manhattan, you can easily get lost in your own cinematic story. Read on... https://t.co/Mvow4anfsM"
20,@takeuchifilm Gm!
21,@Kime011 The new Raptor is a thing of beauty!
22,"Gm, I’m currently away on a shoot at the moment, so I’m a little quiet on here. Hope you all have a great day! 🎞 https://t.co/7HDh2ia5QY"
23,@ce_joiner Thanks Casey!!
24,@onotherfilm Thanks Eric!
25,Gm everyone 🧡 https://t.co/Q9i3eLfx7M
26,"Lost in nyc is my genesis collection that tells a visual and romantic story, capturing the beautiful everyday moments of serendipity. It will include 10 1/1 photos shot during a 48hr time window across New York, each one is captured on Kodak film. 🧡🎞️https://t.co/kswSzdUXCt https://t.co/7fMQP44UPk"
27,"Lost in nyc is my genesis collection that tells a visual and romantic story, capturing the beautiful everyday moments of serendipity. It will include 10 1/1 photos shot during a 48hr time window across New York, each one is captured on Kodak film. 🧡🎞️
https://t.co/kswSzdUXCt https://t.co/kl2iU9tsIS"
28,"@Vitos_photo @withFND Thanks Viktar, same here! Cant wait for summer"
29,A frame from Spain 🇪🇸 #portra400 #35mm https://t.co/3TAfAXk4d8
30,@onotherfilm Thanks so much Eric!
31,"Lost in nyc is a collection of photography that tells a visual and romantic story, capturing everyday moments on film. And the first 4 photos are auctioning now. The collection will consist of 10 1/1 on @withFND 

https://t.co/kswSzdUXCt
#nftphotography #35mm #nyc https://t.co/sWIkBKHD2r"
32,@jmurillofer @withFND 🔥🔥🔥
33,RT @Cryptojuiced: Really digging this collection! 🥵 wen summer? 😭
34,@Cryptojuiced Summer vibes for sure! 🧡
35,@alex_savidis Love it!!
36,@jamesephoto Gm
37,@MarcPeskoller Gm
38,🎞❤️ https://t.co/YbRpnxvnuD
39,@jake_takeo Thanks bro!!
40,"@Kime011 Gm, Alberto!"
41,"Gm, hope everyone has a productive, or lazy weekend. Remember both are important 🧡🎞️ #35mmfilm #kodakgold https://t.co/AJcmcE75tl"
42,@fabianheigel I need to shoot some 800! Looks so good
43,@LeBackpacker 🔥🧡🚀
44,@adambravin https://t.co/FsZNE55vKJ
45,Such a good film stock!!
46,"Sunset + Beach = Kodak Gold 🧡🎞

#kodakgold200 #35mm https://t.co/PR2DHdG1be"
47,@h_khachatrian @FilmMoreno Such a nice photo!!
48,@kristophershinn Hell yeh bro!! Wish i had enough ETH to join the club 👊
49,@GuidoDisalle Well said 🧡🙏
50,@darklunni @Artoria_Artoria Film is the best! Congrats
51,@maddijeanmusic @withhearts @withFND Congrats
52,@Artoria_Artoria @khetrapal_mohit gm
53,Gm! Show me those Kodak Gold photos 🎞️ #35mmfilm https://t.co/snfX2iUsJk
54,@martinvagabond_ @ericasimone @benson_apah @waleadebisip @black_mamuu @ailleursss @abenz_nft @nonfungibleaida @VipDigitalpics @emilybakerphoto @AvaSol144 @travelingelf @lvbs_ng @captyvate @Tylers_journey @SESBX @gunnar_nft @PelosoFederica Thank you Martin 🧡
55,London on film 🎞 #35mmfilm https://t.co/7wGg9wO9SM
56,@paperthynn I create because i love telling stories through my photos 🙏
57,@DracheTech11 See you soon!
58,@Artoria_Artoria @VipDigitalpics @Jill_Dhaene Gm!
59,@MissCoolpics @withFND Great photo Joanna! A very satisfying composition
60,"@MissCoolpics It definitely is, and the support through connections so far has been amazing. It inspires me so much to keep doing what i love with my camera 🙏"
61,@tomnoske_ This van 😍
62,@dredogue Exciting times ahead for us all Dre! 👊
63,@Pacobirds Thanks Pascal!
64,"@DracheTech11 Lisbon, Portugal 🙏🏻🎞 https://t.co/L1OCL0tmdi"
65,@FilmMoreno @Artoria_Artoria Love this shot 🧡
66,@douglasbice Thanks bro! 👊
67,@douglasbice @monaris Thank you 🙏
68,It's a long road ahead and I'll be here all the way. Thank you for reading🙏🧡🎞️ https://t.co/kswSzdUXCt
69,The plan is to grow a community around my work making each and every negative collected as special as possible. https://t.co/4nL2SmTWBM
70,"Lastly, I want to connect with my collectors and learn about them, holding monthly spaces to catch up and chat about life and the nft world. Without collectors there would be no market for nft’s, so i value them a lot and want to build strong relationships. https://t.co/dMPSjOilsV"
71,Over time i want to see each collection increase in value. I'm very particular with my work and will only create nft’s for photos that I think truly stand out. https://t.co/H94y9hM2Gs
72,"I don't plan on reducing my list prices as I feel artists should stick to what they think their value is, like i mentioned previously this isn't about making money for me. Of course it will help to support me in creating more work, and buying more film though.🙏😍 https://t.co/WDxv0ZYrAy"
73,"My goal is to steadily create unique collections with a small number of 1/1 photos. There will be options for having custom prints included in the nft sales as well. As for me, seeing my work in print is my favorite medium. https://t.co/2VN8Lq5rfh"
