,0
0,"@ANFTHONY_ @3landersNFT Very nice, a classico"
1,"Trying to spot out early projects, any recommendations?"
2,#PrayForUkraine WW3... why not just Web3
3,@outsidethe0x time to make sum ETHHHH
4,"TBH I'm grateful I got the vid, I'm so bored I studied NFTs lol #nft $eth"
5,@ANFTHONY_ Very nice ser
6,@concitbro @coolcatsnft yooo! whats good ma dood
7,"I'm allergic to cats, but not #CoolCats"
8,@officialalim @tobylasso does cats follow cats :)
9,@coolcatsnft LFGGG
