,0
0,@ryder_ripps The concept of brother vs brother in the Civil War didn't make sense until now.
1,"@CollinsCustomIP @Pauly0x @ElectionDayMad1 @NotLarvaLabs @huckleberrygump @chopper__dad @melissa @ryder_ripps Ah, I remember when I was a fresh faced baby phunk #1. Now I'm experienced, grizzled and cool rocking a goatee, glasses and a cig Phunk 9776."
2,@Pauly0x https://t.co/cTmbH27JI5
3,@fernbach_t @intocryptoverse Bitboy says a lot of things. https://t.co/Akf1TE3wls
