,0
0,@sunsetventurer @BoredApeYC welcome to the pack #ApesTogetherStrong
1,1 #Ruble is worth less than a penny. Officially a shitcoin 😩 https://t.co/ryPHRgpKHh
2,RT @BTC_Archive: 8 European heads of state have called for Ukraine to be given a fast-track to EU membership
3,"@DippiesNFT My groovy friends:
-@absurdfounder 
-@ManavKa04929166 
-@manavkalra136 
🔥🌈☘️"
4,@intocryptoverse @PeterSchiff You read my mind. Let’s add him up to this conversation 😉
5,"RT @Ryou_NFT: 800$ in $ETH |  ⏰ 11h

Retweet, Follow and Like 👍"
6,"@TjKongz @cipcity @ApeDao_ @BoredApeYC Nice, profile picture. Followed ⚡️ https://t.co/P2189PNyq4"
7,@TheCryptoLark Lowest gas fee for the whole week #Ethereum https://t.co/pukOgGIsOG
8,@VitalikButerin @M_Simonyan @akarlin0 That’s a nice reply from @VitalikButerin
9,"RT @FoundDev_HQ: 💼 Remote Job: 
⭐ Least Authority is hiring a Smart Contracts Security Researcher &amp; Engineer
 👉 https://t.co/5T8gotwTak
 #D…"
10,@asparagoid I left my job as well to write and research DeFi products and I love working for it. With job and I am working with 2 NFT’s projects as well.
11,"“Anonymous” hacker group is working in favour of Ukraine 🇺🇦.
RT (Russia TV) which is spreading lies in Russia was hacked for quite long when it was publishing news regarding war.
I am impressed with this group 🤩"
12,@MjrMarmalade That’s sounds like a good strategy
13,Which #NFT should I buy today?
14,Countries that are part of European Union. https://t.co/EDizeZEjme
15,As Ukraine 🇺🇦 was not a part of NATO at that time nobody helped them. It’s very sad 😕
16,"I guess many don’t know that Ukraine 🇺🇦 was in process of being a part of NATO and as the process is long and takes time, Russia took the opportunity and attacked midway."
17,Russia 🇷🇺 claims to attack Sweden and Finland next if they join hands with NATO. After seeing what they did to Ukraine 🇺🇦 should both of these countries join NATO?
18,"Make Web3, not WW3. 🙏🏻"
19,@HunkinsNFT @kaitlin_easton It’s embarrassing 😂
20,"Is this true? 😨

Russians retail customer saving could be confiscated by the Russian Government in response to sanctions against the country.

Retail Russian customers are on the verge of losing their lifetime saving 🙆🏻‍♂️ https://t.co/Q6bh7ISiZW"
21,"Best picture on Twitter 🌈
#Putin #NFTs #Ukraine https://t.co/9Stw1PwRAW"
22,We don’t want this at all. Stop this bloodshed ❌ https://t.co/L6WP29Ilcw
23,@rlntlss_robles 7% down every year turned to 7% down daily after only crypto bro
24,@junaid25898111 🙆🏻‍♂️🙆🏻‍♂️
25,@redxbt I would get fucked 🤯
26,@alifarhat79 🤯
27,My money was losing 7% every year due to inflation so I decided to invest it in the stock market. Now I’m losing 7% every day.
28,@alifarhat79 😂😂
29,@BTC_Archive 🔥
30,"Ukraine 🇺🇦 gets attacked by Russia 🇷🇺🙆🏻‍♂️

https://t.co/jBpSYINEmL"
31,@inmortalcrypto https://t.co/R8kf4v312g
32,@drb435 @TylerSCrypto thats a good one !
33,@BTC_Archive That would have been a good surprise for El Salvador ⚡️
34,@atcontino @BoredApeYC I think #apefollowape is the most known hashtag between BAYC &amp; MAYC community 🤔
35,@alifarhat79 Nobody could be this stupid to buy everything at its all-time high 🤦🏻‍♂️
36,#Ethereum is a leader of NFT’s 🔥 https://t.co/sYPgU1Vcd8
37,@carvethedegen @BoredApeYC Hey mate ! 🙌 https://t.co/QC3ZSM8Qmd
38,@wrongplace_eth Gm brother 🌈
39,@avkastningsgud1 @BoredApeYC Followed 🔥🙌
40,"RT @absurdfounder: Big things are about to drop ✨ soon 

#NFTGiveaway #NFTCommunity #NFTdrop #NFTs https://t.co/EYsvWXVi7g"
41,"@crystalhefner Yeah, RT so that you can get all the follower’s 👎"
42,@itstylersays That’s the hack sign in. Don’t 🙌
43,@FussCheatham @doodles Gm everyone 🌈 https://t.co/VQHxnZ9pCh
44,@easyeight08 @McDonalds It should’ve been 1 #BTC = 1 franchise of @McDonalds 🔥🙌
45,@0xromeus @doodles What’s up Dood? Gm 🌈 https://t.co/WQ0n3fTwjk
46,Excited 🔥🔥🙌 https://t.co/akzEmd1qAU
47,RT @absurdfounder: Something very cool is about to drop 🛸
48,RT @absurdfounder: Your #NFT cheetsheet for all the newbies coming to #NFTCommunity https://t.co/mzLG7QpyZL
49,@__chidz__ It’s like a wave. There are some small waves and some big waves 🌊
50,If I get to 1200 followers… it won’t change a damn thing 🙌
51,@NathanCRoth @doodles Nothing is better than that 😝
52,@MoneyMontini @doodles #DoodFollowDood 🌈⚡️ https://t.co/dkDpthDBPM
53,#NewProfilePic https://t.co/U7AfErrWW8
54,@MoneyMontini @doodles 🙌
55,@torix_nft @absurdfounder check out
56,@futrii I thought I was the only one staring it 🙌
57,"“If you’re good at something, never do it for free” 
- Joker 🃏"
58,@BTC_Archive Tell him to do this week 😝
59,@lizymfr Her Following:33 and Followers: 7300 😂😂. Y'all dumb!
60,@jade_doherty @LadyofCrypto1 Haha exactly
61,"Sell the problem you solve, not the product. 🙏"
62,#Bitcoin ⬆️ https://t.co/oNEB92lWRv
63,@visualldreams Web 3 is better 😂🙌
64,@heat_rig Haha 😂.  Hate to say this but it’s a! interesting project
65,"Someone actually unfollowed me and now I am at 1199 😂😂🙌. 
Great work whosoever was that !"
