,0
0,"RT @PxDungeon: 20,000 customizable on-chain characters. 🛡⚔️ https://t.co/t7abQWRg9F"
1,"RT @PxDungeon: 🧵 Thread on the Minting Process -

1/? 

We have seen how the NFT space has reacted towards DA mints
(Dutch Auctions), and a…"
2,"RT @PxDungeon: Meet the Knight class. He is the very essence of chivalry, honour, and courage. 
🛡️⚔️
A Total of 1876 #Whitelist spots are a…"
3,"RT @PxDungeon: A total of 1990 #Whitelist spots are available for grabs. 

Drop your ETH address below🛡⚔️"
4,"RT @PxDungeon: Meet the Paladin class. Brawny yet swift. His eyes sends chills down Ogres spines (if they even have one)

🛡️⚔️
Any interact…"
5,"RT @PxDungeon: Meet the Archer class. Master the art of speed, agility and stealth.

Retweet to enter a whitelist giveaway. 🏹🎯

#P2E #NFT #…"
6,"RT @PxDungeon: Any interactions with this tweet will be considered for Whitelist.

#P2E #NFT #NFTGiveaway"
