,0
0,"I painted @BoredApeYC for @kennedy_eth by acrylic 
#NFT for kings hehe https://t.co/Xo5vzMZ6oO"
1,"sometimes you want to be that light
#nftphotography https://t.co/TGV2YXOmUp"
2,mind-blowing 💥 https://t.co/iZnu2CSsFC
3,"A Russian girl (aka me) praying for NFT: the last hope
 #NFT #NFTCommunity #WomeninNFTs https://t.co/7DBBmrt95b"
4,"HAHAHAHAHAHA SORRY  
#NFT https://t.co/1CHiHQYuhR"
5,"Hey everyone! 
I’m Dora, an introverted artist. I’ve been exploring #NFTcommunity for quite some time and I see lots of cool people here, who talk about their art openly. I think it’s my turn to do the same. So I’m gonna stop being a pussy and gonna share my art with you guys! https://t.co/rxx6y2YBsV"
6,RT @nikmcfly9: I've just made an hommage dedicated to @Poolsuite and I'm very welcome to trade it for any NFT owned by Poolsuite executive…
7,"69696969 sorry guys 🙂🙃
#Nifty #matrixnft 
#NFTCommunity https://t.co/LTzdTKp5UO"
8,"I've bought my first NFT ✨ 
@Poolsuite best fm ever 

#NFTCommunity  #NFTs https://t.co/5UKT20EKZS"
