,0
0,"Wow, what a day yesterday was for @PurrnelopesCC!"
1,RT @PurrnelopesCC: GM Purrs! Here’s our Planner for the week breaking down what we have in store for you all this week! #WeLoveThePurrs htt…
2,.pcc.eth fam - I think I follow you all now!
3,"Ready to start my new Web3 identity! 

#WeLoveThePurrs https://t.co/3qJdA5GQ4n"
