,0
0,"RT @SuperlativeApes: 🌈HUGE @BoredApeYC MAYC M2 ($60.000) GIVEAWAY🌈

1️⃣ The next 1000 #MUTANTSLAPES MINTS will automatically participate!…"
1,RT @officialalim: The stars look really nice tonight
2,@whitelistart @doodles @evankeast @burnttoast @poopie @ArtOnInternet 0x0D6048B094c9146Dd083Ee90Abf736590867248a
3,"RT @alfiemotion: In February you’ll be able to take your doodle to space. An innovative and unique animated space journey is coming, and I…"
4,"RT @EvolvingElves: Who’s got notis on? 👀 

RT and Follow!"
5,@KillShotCA @doodles kingdoodle reporting for duty https://t.co/UUaiT7b46S
6,"#Doodles fam, is there a crown DAO? would people be interested in a group for all the crownies and holo-crownies? As your loyal king, I could set something up 👑"
7,@coinbase 👑
8,#NewNFTProfilePic NFT by Doodles_LLC https://t.co/zBv7qmbWBQ
