,0
0,@paultaitco Hey Paul! 🤜💥🤛
1,@laprisephoto Hey Alexandre! 💙
2,@graysonlauff Gm gm Grayson! ☕️
3,@_zoteye Hey my friend! 🌞
4,@sharifaee Hey Khashayar!☕️
5,@artukovicjosip Hey Josip! 💚
6,@SurginArt Morning sir! 🌞
7,"RT @ptrbkr: So I accidentally ordered two signed copies of @SothAlec’s newest book, A Pound of Pictures, so I figure I’ll give one of them…"
8,"RT @kevinmfers: WHAT'S UP #MFERS. 
THE KEVINS ARE COMING

Follow + RT this post for a surprise 🎁
Early kevins will be noted 👀 https://t.co/…"
9,RT @melnitchenkosv: I’m doing this not for myself but for my friend my brother @vovaccio who made this amazing 3D animations in collaborati…
10,RT @halecar2: Morning talk with @the_gee_pee about the August Sander 10k project https://t.co/9qeaxsntJU
11,"RT @fellowshiptrust: Join us tomorrow 10am EST for a Q&amp;A with Julian Sander (@the_gee_pee)

Remember to put your questions in the #question…"
12,@cristinaDmiddel Good morning Cristina!
13,@__JimEyre__ Thanks Jim! 💛
14,Good morning! https://t.co/NgWsBqZgV4
15,🔥 https://t.co/NroDFhAYD3
16,RT @MMiliszkiewicz: The Caucasus - A collection of 32 street/travel photos from 3 weeks trip from Azerbaijan through Georgia to Armenia. Sp…
17,@__JimEyre__ @paultaitco 💚💚💚
18,🧱🚗⬜️ https://t.co/OkTUJaFyJM
19,"@QuantumNFT QM! Thank you!
No, everything's fine, listed on FND: https://t.co/OLyqwSnnuV"
20,@paultaitco Hey my man! How are you?
21,"RT @DanielHuete: An image I photographed in 2017.

https://t.co/ULnVovpJ7b

Since 2020 life hasn’t been the same, when I look back It’s the…"
22,@svetasher2 Thank you! 💚
23,Listed on Fnd: https://t.co/XTJQPupYYj
24,"@lilycallisto Hope you stay safe, Lily!"
25,@rainerhosch @fellowshiptrust Beautiful!
26,@halecar2 @obscuradao @fellowshiptrust 💎💎💎
27,RT @halecar2: Big things coming this week to @obscuradao and @fellowshiptrust. The power of NFTs gearing up to create change in photography.
28,@halecar2 Gm!
29,"RT @teryoshi: gm frens! ""not in my name"" went viral yesterday. My burning russian passport should help the Ukrainians!
I listed it for 0,25…"
30,RT @elonmusk: @FedorovMykhailo Starlink service is now active in Ukraine. More terminals en route.
31,"RT @jeffexcell: https://t.co/auNPMnECCu

This is the place to be guys. Throw some eth into this! I just donated."
32,@EddiJonesNFT @krispodobed2 @LBukreyeva @PashaYouz @woman_is_art @KrisVoitkiv @spasi___sohrani @Anna_Zhukovska
33,@EddiJonesNFT @krispodobed2 @LBukreyeva @PashaYouz @woman_is_art @KrisVoitkiv
34,"RT @Anna_Zhukovska: Reportedly audio from Snake Island in Black Sea:

-This is a Russian military ship. I suggest you lay down your weapons…"
35,"RT @Anna_Zhukovska: Putin, you will burn in hell for me hearing my mother weeping like that to the sounds of your goddamn fighters, you stu…"
36,"RT @obscuradao: Our thoughts go out to the people of Ukraine and all those affected, we stand in solidarity with you. As we are a  global c…"
37,@ilovedecay Terrifying
38,"RT @WimVanCappellen: While we are here showing our art and complementing each other, an entire country is under attack. Not to say that wha…"
39,"@_agustob_ @WimVanCappellen @BrettCodyRogers @fellowshiptrust @MiavanR Same here! Checking my list every couple of hours, just to see if they are still there, available haha"
40,"@_agustob_ @WimVanCappellen @BrettCodyRogers @fellowshiptrust @MiavanR Of course! It is this fixation that connects us, not our wallets! Welcome! 💚"
41,@WimVanCappellen @BrettCodyRogers @fellowshiptrust @MiavanR Decentralized Augustonomous Organization!
42,@lilycallisto @WimVanCappellen @BrettCodyRogers @fellowshiptrust @MiavanR Welcome Lily! 💚
43,"@WimVanCappellen @BrettCodyRogers @fellowshiptrust @MiavanR Haha. I didn't know that I'm a president. Let's maybe make it non-hierarchical, like other types of Anonymous organizations. Because basically they are DAOs."
44,@RatCloak Be safe my friend! 🙏
45,RT @ScottStrazzante: A big chunk of my NFT collections are street photography. I am creating a body of work of what everyday life looks lik…
46,@bthemouth Oh yeah! He's timeless
47,"No, everything's fine
#artTANK https://t.co/HpJSraE4XA"
48,@popszi_ I wish! But no. No liquidity :(
49,@sammbohorquez @jmpailhon Yes! Congratulations both! 🔥
50,"RT @sammbohorquez: Thank you so much @jmpailhon for putting a bid in Touch #1 ! ✨ 

An act of resistance that was worth to be captured taki…"
51,@bthemouth Fantastic collection. And I love how modern photos are paired with August Sander's pieces🔥
52,@sashaku9292 @synchrodogs Congratulations! 🔥
53,"""No everything's fine"" is listed on FND:
https://t.co/BSm0hupJiN https://t.co/28gD26yfcP"
54,@WimVanCappellen @fellowshiptrust @MiavanR 💚
55,"@Garbageman_22 @fellowshiptrust Same here, I think it's my favourite from all the portraits"
