,0
0,"Wow, space @doodles are incredible ... 
https://t.co/zaGCFZGCyX https://t.co/6OMNzKX3tm"
1,Space @doodles in the air tonight #Doodles https://t.co/TOqZhJTqTP
2,"@ysjiang18 @NatFactsEth @3landersNFT This is a dashboard I wrote just for personal use, but happy to share the code if it's of interest! (It uses python / streamlit / javascript.) Some good public NFT dashboards on Dune, too: https://t.co/VSdXlX87OZ"
3,@NatFactsEth Interesting ... @3landersNFT has some of the most mvmt on OpenSea right now. Curious to dig into the project. https://t.co/Wgclf2ACg0
4,"3/ Team is excellent w/ experience from Dapper / Cryptokitties, long-term focus, a sizable @doodles bank (&gt; 1200e), and top quality advisors (@NateAlexNFT)."
5,"2/ Non-dilutive drops (space doodles) feels right; extend experiences w/o creating new NFTs. @poopie and @evankeast made interesting points abt this on recent pods ... 
https://t.co/5ZDnoJwFKy"
6,"1/ @doodles is aesthetically delightful and the ""happy cynicism"" style IMO has a broad range (kids to adults) for brand building ... https://t.co/Yk6te1v9JS"
7,Recently picked up this lad #DoodlesNFT #Doodles ... https://t.co/8v8hY2mCFe
8,@Oussz @proof_xyz @creatureNFT @RTFKTstudios @RugRadio @ryancarson provided the data (from @wgmiio). I wrote some code to process and visualize it.
9,"Top 50 most popular @proof_xyz projects (by % ownership) with &gt; 1e floor. @creatureNFT, @RTFKTstudios podX, @RugRadio, Cyber Factory 2 all among most popular w/ lowest current floor. https://t.co/QTNUlBZVkP"
10,"@proof_xyz holders popular projects vs floor price. @WoodiesNFT, @RubberduckzNFT, Dead Ringers (@dmitricherniak) notable for low floor + high % ownership. (h/t @ryancarson for providing the data.) https://t.co/Y3ylWZmTDk"
11,@ewiski1 @kurtybot @BALLERZ_NFT I still need to pick up a grillz baller ... only 329 (at least from my initial pixel scan).  https://t.co/ITTWrdUz6S
12,"@JoeSchroeNFT @paul_wik @TheReelPhilD @MoHDI Ya. Surprised the full sales history can't be easily queried. IIRC @NftBig1 had a Flowscan scraper? @rayvin_io has API (https://t.co/cnE2tiVAXb) to get history and @BallerzSales posts real-time tx. Would be cool if the history was easily queryable (e.g., via @DuneAnalytics etc)."
13,"@paul_wik @TheReelPhilD Real-time listings at Rayvin. Long term historical data, not sure! @MoHDI looked into it a bit. Should be a DB of all historical sales (e.g., Dune has this data for OpenSea). @JoeSchroeNFT might now where to get it? https://t.co/NyMXSNo2yZ"
14,@justin_brown_TS @BALLERZ_NFT Bright zombies 🧟‍♀️ https://t.co/6CLV1VcSab
15,"@SuckaJFoo @justin_brown_TS @BoredApeYC @BALLERZ_NFT This talks abt history of BAYC and some things they did: airdrops to owners (dogs, mutant apes), full IP ownership to owners, IP collabs, merchandising. Took ~3 mo to 4e floor. https://t.co/KoZLHoSE1e"
16,@BallerzSales @BALLERZ_NFT Tongue gang is getting discovered 😅 https://t.co/LLy6Bc692H
17,@moxie Nice article. The NFT data problem may be addressed w @ArweaveTeam; @samecwilliams discusses this on MoFi podcast w/ @kevinrose. https://t.co/MTVvV1H9UL
18,@dkrazey @caravaggeeoh @NftBig1 @observablehq Which streamlit dash are you looking at?
19,"@dkrazey @caravaggeeoh @NftBig1 @observablehq There’s some other options, too: @graffle_io V2 API will have historical sales for FLOW and flow-beam may have it now. Been on vacay so have not had time to dig in. If py scraper code used here is public, it would be another useful tool."
20,@caravaggeeoh @NftBig1 @dkrazey @observablehq Python client to pull data from FLOW would be nice and is common for ETH; see https://t.co/vpmjbXPJYE
21,@NftBig1 @caravaggeeoh @dkrazey @observablehq Nice work! Curious is your scraper code pubic? I’d be curious to do some one-off / ad hoc analysis (no dashboard) on historical sales data.
22,@ShazaaaaamNFT @ZaeBucks @kurtybot 🤝 https://t.co/tC3pQGO09X
23,@yungkimchi_22 @kurtybot @Jeremy_Born @BALLERZ_NFT 👀 … my fav trait. I need to get one https://t.co/r7OGBSmqYx
24,"@cdixon FAANG stans will tell you ""NFTs are useless!"" while their kids are out there spending thousands on CS skins 😅 https://t.co/JYYgVl0pft"
