,0
0,"Let’s go! #IFfollowIF #InvisibleFriends
Where I can find #VibesClub 🎩 https://t.co/tYB2gfPKkx"
1,"OMG! Is it real? 😱
@InvsbleFriends follow me!
It’s crazy 🤯 
#InvisibleFriends #IFfollowIF https://t.co/T3bdnOOL6p"
2,"I got limit and can’t follow today, sorry😢 I see and I follow when limit is gone🙃 #InvisibleFriends #IFfollowIF https://t.co/FkEitPnfHX"
3,@InvsbleFriends 👀 https://t.co/ennjL0wrym
4,@Mattn_eth @InvsbleFriends Thx!😊
5,@NFTJosue @InvsbleFriends @MotionMarkus @mikker @ashh_eth @coinbilly_ @nelsg_ Hello! #IFfollowIF https://t.co/6ximbcMERc
6,"Hello @InvsbleFriends and community
I'm new on twitter and got my IF

All profit and good mood!

🧢 #IFfollowIF https://t.co/jRcmYMOMSf"
