,0
0,"RT @mooncat2878: 1/20

We now have data for @3landersNFT and can look at what people prefer so far in the collection

Is it rarity? Is it a…"
1,"RT @jules71097371: Added to my @3landersNFT collection w/ the brainstorm bot, now holding 14. Haven't been this bullish since BAYC last sum…"
2,RT @BeardedKsum: Kept hearing more &amp; more + seeing more &amp; more about @3landersNFT. So decided to take the leap. Gotta thank @nftboi_ for gi…
3,"RT @3landersNFT: Bring your camping supplies and get ready to embark on the adventure of a lifetime. 🗺️

Our first official Campfire, start…"
4,"RT @3landersNFT: Our first campfire will be taking place next Wednesday, March 2nd within our Discord. 🪵🔥

We'll be going through the initi…"
