,0
0,@thisbitty @DoodoftheDay @doodles 🔥🚀
1,🚀 https://t.co/O08UJl9kGY
2,"RT @doodles: all systems go. 

doodles are headed to space in 24 hours. 🚀 https://t.co/WOU38SvQsy"
3,@TastyBonesNFT 🦴 🦴🦴☠️💀💀💀
4,@alfiemotion @doodles Clean &amp; fresh Alfie is simply the best 🔥 https://t.co/Q4WHCzxlGQ
5,"RT @SuperVybs: Here's the full video from the first ""performance"" of my song Pass The Rainbow.

For the @doodles by a Doodle🌈🙌

Brought to…"
6,"@DeezEth @MrJamesonNeat @notwarrenETH @doodles thanks, the combo puffer gonna be lit too ⚡️🔥"
7,@notwarrenETH @doodles 🚀 https://t.co/KVBWklm7NN
8,@METAruntz @doodles here we go 🚀 https://t.co/FZ6CAshCEN
