,0
0,RT @Amihaga: The only thread you need to read today 🧵
1,RT @exodia_io: Excited to partner with @CuriousAddys. Hard to find a gem in the NFT space due to saturation. They are the real deal. The fi…
2,RT @Amihaga: What did you build in Web3 this week? 👀👇 #NFTs #NFTCommunity
3,@DrGallen1 gm
4,"I've been lurking twitter for more than 7 and a half years. It's time I finally become active and without a doubt, the best way to come out to the twitter world is with a #Phunk 🪞 @NotLarvaLabs @CryptoPhunksV2 LPG 🚀🚀🚀 https://t.co/kau9sT08se"
5,RT @exodia_io: There's a need for a blue chip NFT index that indicates the status of the general NFT market. We're building it at https://t…
6,"RT @exodia_io: @ParallelNFT volume is off the charts! 📈 👏 
Also featuring @thecryptopunks @DApeWives @BoredApeYC. For more NFT Analytics ➡️…"
7,@exodia_io Exciting!
8,"RT @exodia_io: 🔥 Exodia #NFTGiveaway worth over 800$!

Winner will receive 1 Elite NFT which provides lifetime access to the Exodia NFT Ana…"
