,0
0,@DataNFT_ @nftworldsNFT Lesson learned long ago 🤓
1,"@DataNFT_ @nftworldsNFT No paper handing in nft atm, but I sold a lot of ETH at $14, does it count? 😂"
2,@punk9059 @worldofwomennft 🤫
3,@CryptoMories 👀
4,"@JPEGvaultDAO @TheSandboxGame Supporting @JPEGvaultDAO from day one, your excellent management deserves a marketing boost 🚀"
