,0
0,@showlove34 Any big match airing? 😮
1,@MotionMarkus Noice
2,@jakeudell Definitely @minipeeponft ! Shilling myself hehe but pease check us out! Big things are coming!
3,"RT @minipeeponft: Psst! 🌬️ Something is going live next weekend. Please stay tuned 😈😈😈

Hint: 🕸️

#NFT #NFTs #NFTartist #shillme #shillyoun…"
4,"RT @minipeeponft: 🔥Beep beep! We are the MiniPeepo NFT! 🔥
Don’t miss the opportunity for our upcoming Giveaway and Whitelisting which are c…"
5,I just voted @AnthonyMartial to be on the FIFA 17 Cover. https://t.co/GcmL15JDNM #FIFA17MARTIAL #FIFA17CoverReward via @EASPORTS
