,0
0,RT @PUMA: Who wants to come by the bungalow? Big cats only. #LazyLions
1,"@NFTtourist Happy Birthday!! 🎉🎉 You've worked soo hard the last couple of months, hope you have a nice relaxing day today😊💕"
2,"RT @NFTtourist: Today is my birthday. Not quite there yet, but literally cannot wait for the time when I'm 85 &amp; telling my grandkids that I…"
3,RT @gicevt: Welcome to the @gicevt #spinnerhat family @LazyLionsNFT #3406 🪰🔥 #flies @funky_flies #zzzzz #Lions #LazyLions #LazyLionsNFT @Fi…
4,@gicevt @LazyLionsNFT @funky_flies @Fityeth Welcome!!🦁🎉 Great pick! #ROAR https://t.co/sdgDj3MBwL
5,@Myst_eth @apocalypticapes @DDish123 @loudmouthlion @Fityeth Welcome to the pride!!🦁👑🎉 #ROAR https://t.co/R5tXmJb9M4
6,RT @Myst_eth: I heard there is some zombie hype? 👀 had to get into Lazy Lions! #LazyLions #Lions https://t.co/S8K6Jyh5nk
7,"RT @sandy_carter: Calling all @LazyLionsNFT 

Your Queens are dishing on Web3 101 -- both @sandy_carter and @Disko_Leopard  on March 8th!…"
8,"@KLDxCrypto @LazyLionsNFT Great choice, that lion is 🔥🔥 - welcome to the pride 🦁👑!!🎉 Let's #RoarTogether https://t.co/xLSa8qL30B"
9,RT @KLDxCrypto: #NewProfilePic by @LazyLionsNFT First Lion🦁👑 #NFT #pfpNFT #LazyLions https://t.co/74h1PdrwJp
10,"RT @randizuckerberg: A decade ago, I sang this song on Broadway. Today I sing this song, surrounded by new friends, as a rallying cry for t…"
11,"RT @thehugxyz: At @thehugxyz, we want to celebrate YOU - a budding community of creators &amp; collectors who believes in building the inclusiv…"
12,RT @NFTscooter: Thinking about copping a @LazyLionsNFT. What does the #LazyLions community think 🦁?
13,"RT @therebelsnft: Happy Birthday to our Founder @NFTtourist, don't be mad for calling you out 👀🎂💜 https://t.co/kwcHgi9fSm"
14,RT @crypto_image: Can I get some chicks follow chicks action?! Say hello to the 2 newest additions @NFTCryptoChicks Can honestly say I am s…
15,RT @NeverGiveUp187: #NewNFTProfilePic NFT by Lazy-Lions https://t.co/KJZA5IuLZw
16,"RT @Dreamy__Kitten: Check out my #NewNFTProfilePic NFT from @MarsCatsVoyage. Loving the art on this beauty.
#MCV #NFT #newpfp #NewProfilePi…"
17,"RT @CryptoCocktail_: #NewNFTProfilePic NFT by Lazy-Lions

Proud to be a part of this amazing community!! #ROAR #LFR 
@LazyLionsNFT https://…"
18,@UnknownNFTS1 @SSF_NFT @CryptoMories Congrats &amp; welcome!😊🎉 Nice catch🎣 #SSFUNITED 🐡 https://t.co/s0GOi1krxR
19,RT @UnknownNFTS1: I cant just yet accomplish my goal of buying a @CryptoMories but was able to go fishing and found this awesome @SSF_NFT s…
20,@Cha0ticG00D @LazyLionsNFT Hey fellow queen😊 So happy to have you in our amazing community💖🎉 Great pick🦁👑 #ROAR #WomenInNFTs https://t.co/pHxonZ5arT
21,RT @Cha0ticG00D: Lions!! Let’s connect 🦁 Especially any Lionesses out there! #LionsFollowLions #LazyLions #LazyLionsNFT @LazyLionsNFT Love…
22,"RT @nftdraken: The #FaMorie is one of the friendliest people we've met. Web3 should be about the people and helping one another. 

Soon, al…"
23,@LochlannShah @LazyLionsNFT What a nice lion!! Welcome 🦁🎉 #ROAR https://t.co/2EUPiAm39K
24,RT @AbdullaBin_S: Got my first Lazy Lion so excited for this projects future. @abdulazizzzz thanks for your support hope to see you own one…
25,RT @julialandauer: Web2 me vs Web3 me https://t.co/6wDbc9JZXP
26,@MissIslaHenry @LazyLionsNFT Great choice!! Love the bubble gum! Welcome to the price🙌👑 Let's #ROAR 🦁🎉 https://t.co/y9dWvSU35x
27,"RT @MissIslaHenry: I've finally done it! I've joined the @LazyLionsNFT fam with my forever lion.   Meet #LazyLions #6294

Over the moon. #R…"
28,@lennycriddle @alphagirlclub Welcome 😊🎉 https://t.co/ZhXMetNBg7
29,"RT @realbulgarian: Well, I did a thing - I joined the @LazyLionsNFT club!  🦁 #ROAR  #NFT #NFTCommunity #NewProfilePic #LionsFollowLions htt…"
30,RT @KFZ31KFZ31: I’m in love with my new #PFP 💜💜💜 purple is my favorite color and love the galaxy / purple mane combo! @LazyLionsNFT #NFT ht…
31,"RT @LazyLionsNFT: 👀 The antagonist doesn't look too happy. 
Any guesses why? 👿 
#LazyLions https://t.co/bRKzSE0mWB"
32,@Moonsie_NFT @mirlnft @CollNFT @advanced_owl @_lovablecurves
33,"RT @HODLFrance: Just joined @LazyLionsNFT 🔥🔥 Great community and great future potential !!! 

#LazyLions #LionFollowLion #ROAR https://t.co…"
34,RT @e_mendoza18: This was SO LONG OVERDUE! So excited to be part of such a strong community!  Check out my Lion!!! #3474 NFT by Lazy-Lions…
35,RT @MatanPier: #NewProfilePic https://t.co/3MDVirjE9U
36,RT @NFTimot: #NewProfilePic @LazyLionsNFT https://t.co/I4m8ha5hOq
