,0
0,RT @punk2513: Queue another floor sweep https://t.co/DukJQHCKeY
1,"RT @0x_fxnction: woah @WickedCraniums floor is only .25 ETH?

room to grow"
2,"RT @ape2849: Consider buying your wife/girlfriend/daughter a @worldofwomennft 

It’s the perfect on-ramp to get them interested in the space"
3,@CryptoZunks @DoopCat @artbro_eth @Crypto__Lad @itisohm @icono_art @Aperson39720357 @TinFoilRealist
4,Apes together strong #BAYC https://t.co/SKivpvn0zv
5,"@CryptoZunks @0xMandy @3DPunks_ @j_oe167 @ShotMikes @SistaApe I might not have as much ETH as Mr Gary Vee, but I got my eyes on this"
6,@CryptoZunks @0xMandy @3DPunks_ @nftjgn @boredape111 @ape_north show the Russian NFT king some love
7,Apes. https://t.co/IwNhlkMFRk
8,I'm claiming my Helpful VC from @partyround's latest drop! https://t.co/aTPTdLG8rP
